date,RegionName,AreaCode,SalesVolume
01/09/2018,London,E12000007,40
01/09/2018,North East,E12000001,66
01/09/2018,North West,E12000002,111
01/09/2018,South East,E12000008,39
01/09/2018,South West,E12000009,32
01/09/2018,West Midlands Region,E12000005,60
01/09/2018,Yorkshire and The Humber,E12000003,86
01/09/2018,England,E92000001,477
01/09/2018,Wales,W92000004,46
01/10/2018,East Midlands,E12000004,54
01/10/2018,East of England,E12000006,14
01/10/2018,London,E12000007,48
01/10/2018,North East,E12000001,89
01/10/2018,North West,E12000002,166
01/10/2018,South East,E12000008,68
01/10/2018,South West,E12000009,40
01/10/2018,West Midlands Region,E12000005,67
01/10/2018,Yorkshire and The Humber,E12000003,84
01/10/2018,England,E92000001,630
01/10/2018,Wales,W92000004,64
01/11/2018,East Midlands,E12000004,48
01/11/2018,East of England,E12000006,17
01/11/2018,London,E12000007,39
01/11/2018,North East,E12000001,91
01/11/2018,North West,E12000002,162
01/11/2018,South East,E12000008,58
01/11/2018,South West,E12000009,39
01/11/2018,West Midlands Region,E12000005,56
01/11/2018,Yorkshire and The Humber,E12000003,105
01/11/2018,England,E92000001,615
01/11/2018,Wales,W92000004,67
01/12/2018,East Midlands,E12000004,36
01/12/2018,East of England,E12000006,18
01/12/2018,London,E12000007,39
01/12/2018,North East,E12000001,74
01/12/2018,North West,E12000002,118
01/12/2018,South East,E12000008,49
01/12/2018,South West,E12000009,25
01/12/2018,West Midlands Region,E12000005,61
01/12/2018,Yorkshire and The Humber,E12000003,88
01/12/2018,England,E92000001,508
01/12/2018,Wales,W92000004,51
01/01/2019,East Midlands,E12000004,48
01/01/2019,East of England,E12000006,16
01/01/2019,London,E12000007,44
01/01/2019,North East,E12000001,77
01/01/2019,North West,E12000002,150
01/01/2019,South East,E12000008,52
01/01/2019,South West,E12000009,40
01/01/2019,West Midlands Region,E12000005,42
01/01/2019,Yorkshire and The Humber,E12000003,89
01/01/2019,England,E92000001,558
01/01/2019,Wales,W92000004,44
01/02/2019,East Midlands,E12000004,54
01/02/2019,East of England,E12000006,18
01/02/2019,London,E12000007,47
01/02/2019,North East,E12000001,83
01/02/2019,North West,E12000002,144
01/02/2019,South East,E12000008,61
01/02/2019,South West,E12000009,60
01/02/2019,West Midlands Region,E12000005,45
01/02/2019,Yorkshire and The Humber,E12000003,89
01/02/2019,England,E92000001,601
01/02/2019,Wales,W92000004,56
01/03/2019,East Midlands,E12000004,50
01/03/2019,East of England,E12000006,9
01/03/2019,London,E12000007,48
01/03/2019,North East,E12000001,100
01/03/2019,North West,E12000002,180
01/03/2019,South East,E12000008,63
01/03/2019,South West,E12000009,54
01/03/2019,West Midlands Region,E12000005,55
01/03/2019,Yorkshire and The Humber,E12000003,90
01/03/2019,England,E92000001,649
01/03/2019,Wales,W92000004,59
01/04/2019,East Midlands,E12000004,49
01/04/2019,East of England,E12000006,19
01/04/2019,London,E12000007,40
01/04/2019,North East,E12000001,73
01/04/2019,North West,E12000002,136
01/04/2019,South East,E12000008,62
01/04/2019,South West,E12000009,75
01/04/2019,West Midlands Region,E12000005,59
01/04/2019,Yorkshire and The Humber,E12000003,106
01/04/2019,England,E92000001,619
01/04/2019,Wales,W92000004,44
01/05/2019,East Midlands,E12000004,58
01/05/2019,East of England,E12000006,13
01/05/2019,London,E12000007,64
01/05/2019,North East,E12000001,95
01/05/2019,North West,E12000002,168
01/05/2019,South East,E12000008,98
01/05/2019,South West,E12000009,52
01/05/2019,West Midlands Region,E12000005,71
01/05/2019,Yorkshire and The Humber,E12000003,97
01/05/2019,England,E92000001,716
01/05/2019,Wales,W92000004,68
01/06/2019,East Midlands,E12000004,57
01/06/2019,East of England,E12000006,15
01/06/2019,London,E12000007,44
01/06/2019,North East,E12000001,112
01/06/2019,North West,E12000002,121
01/06/2019,South East,E12000008,44
01/06/2019,South West,E12000009,48
01/06/2019,West Midlands Region,E12000005,61
01/06/2019,Yorkshire and The Humber,E12000003,98
01/06/2019,England,E92000001,600
01/06/2019,Wales,W92000004,43
01/07/2019,East Midlands,E12000004,55
01/07/2019,East of England,E12000006,19
01/07/2019,London,E12000007,44
01/07/2019,North East,E12000001,114
01/07/2019,North West,E12000002,110
01/07/2019,South East,E12000008,98
01/07/2019,South West,E12000009,42
01/07/2019,West Midlands Region,E12000005,73
01/07/2019,Yorkshire and The Humber,E12000003,117
01/07/2019,England,E92000001,672
01/07/2019,Wales,W92000004,64
01/08/2019,East Midlands,E12000004,46
01/08/2019,East of England,E12000006,17
01/08/2019,London,E12000007,60
01/08/2019,North East,E12000001,107
01/08/2019,North West,E12000002,139
01/08/2019,South East,E12000008,70
01/08/2019,South West,E12000009,49
01/08/2019,West Midlands Region,E12000005,64
01/08/2019,Yorkshire and The Humber,E12000003,109
01/08/2019,England,E92000001,661
01/08/2019,Wales,W92000004,55
01/09/2019,East Midlands,E12000004,55
01/09/2019,East of England,E12000006,17
01/09/2019,London,E12000007,51
01/09/2019,North East,E12000001,95
01/09/2019,North West,E12000002,144
01/09/2019,South East,E12000008,61
01/09/2019,South West,E12000009,35
01/09/2019,West Midlands Region,E12000005,63
01/09/2019,Yorkshire and The Humber,E12000003,87
01/09/2019,England,E92000001,608
01/09/2019,Wales,W92000004,55
01/10/2019,East Midlands,E12000004,60
01/10/2019,East of England,E12000006,17
01/10/2019,London,E12000007,51
01/10/2019,North East,E12000001,118
01/10/2019,North West,E12000002,192
01/10/2019,South East,E12000008,84
01/10/2019,South West,E12000009,48
01/10/2019,West Midlands Region,E12000005,75
01/10/2019,Yorkshire and The Humber,E12000003,103
01/10/2019,England,E92000001,748
01/10/2019,Wales,W92000004,56
01/11/2019,East Midlands,E12000004,55
01/11/2019,East of England,E12000006,15
01/11/2019,London,E12000007,57
01/11/2019,North East,E12000001,117
01/11/2019,North West,E12000002,144
01/11/2019,South East,E12000008,63
01/11/2019,South West,E12000009,63
01/11/2019,West Midlands Region,E12000005,68
01/11/2019,Yorkshire and The Humber,E12000003,97
01/11/2019,England,E92000001,679
01/11/2019,Wales,W92000004,66
01/12/2019,East Midlands,E12000004,35
01/12/2019,East of England,E12000006,17
01/12/2019,London,E12000007,45
01/12/2019,North East,E12000001,69
01/12/2019,North West,E12000002,168
01/12/2019,South East,E12000008,62
01/12/2019,South West,E12000009,36
01/12/2019,West Midlands Region,E12000005,69
01/12/2019,Yorkshire and The Humber,E12000003,105
01/12/2019,England,E92000001,606
01/12/2019,Wales,W92000004,50
01/01/2020,East Midlands,E12000004,62
01/01/2020,East of England,E12000006,15
01/01/2020,London,E12000007,58
01/01/2020,North East,E12000001,113
01/01/2020,North West,E12000002,157
01/01/2020,South East,E12000008,66
01/01/2020,South West,E12000009,40
01/01/2020,West Midlands Region,E12000005,67
01/01/2020,Yorkshire and The Humber,E12000003,112
01/01/2020,England,E92000001,690
01/01/2020,Wales,W92000004,57
01/02/2020,East Midlands,E12000004,49
01/02/2020,East of England,E12000006,16
01/02/2020,London,E12000007,40
01/02/2020,North East,E12000001,93
01/02/2020,North West,E12000002,110
01/02/2020,South East,E12000008,56
01/02/2020,South West,E12000009,40
01/02/2020,West Midlands Region,E12000005,61
01/02/2020,Yorkshire and The Humber,E12000003,105
01/02/2020,England,E92000001,570
01/02/2020,Wales,W92000004,46
01/03/2020,East Midlands,E12000004,42
01/03/2020,East of England,E12000006,16
01/03/2020,London,E12000007,63
01/03/2020,North East,E12000001,84
01/03/2020,North West,E12000002,132
01/03/2020,South East,E12000008,57
01/03/2020,South West,E12000009,46
01/03/2020,West Midlands Region,E12000005,47
01/03/2020,Yorkshire and The Humber,E12000003,83
01/03/2020,England,E92000001,570
01/03/2020,Wales,W92000004,50
01/04/2020,East Midlands,E12000004,17
01/04/2020,East of England,E12000006,6
01/04/2020,London,E12000007,28
01/04/2020,North East,E12000001,35
01/04/2020,North West,E12000002,53
01/04/2020,South East,E12000008,17
01/04/2020,South West,E12000009,15
01/04/2020,West Midlands Region,E12000005,27
01/04/2020,Yorkshire and The Humber,E12000003,42
01/04/2020,England,E92000001,240
01/04/2020,Wales,W92000004,24
01/05/2020,East Midlands,E12000004,23
01/05/2020,East of England,E12000006,9
01/05/2020,London,E12000007,24
01/05/2020,North East,E12000001,61
01/05/2020,North West,E12000002,67
01/05/2020,South East,E12000008,33
01/05/2020,South West,E12000009,18
01/05/2020,West Midlands Region,E12000005,27
01/05/2020,Yorkshire and The Humber,E12000003,43
01/05/2020,England,E92000001,305
01/05/2020,Wales,W92000004,27
01/06/2020,East Midlands,E12000004,20
01/06/2020,East of England,E12000006,8
01/06/2020,London,E12000007,39
01/06/2020,North East,E12000001,68
01/06/2020,North West,E12000002,91
01/06/2020,South East,E12000008,44
01/06/2020,South West,E12000009,25
01/06/2020,West Midlands Region,E12000005,25
01/06/2020,Yorkshire and The Humber,E12000003,56
01/06/2020,England,E92000001,376
01/06/2020,Wales,W92000004,18
01/07/2020,East Midlands,E12000004,31
01/07/2020,East of England,E12000006,10
01/07/2020,London,E12000007,43
01/07/2020,North East,E12000001,63
01/07/2020,North West,E12000002,105
01/07/2020,South East,E12000008,68
01/07/2020,South West,E12000009,30
01/07/2020,West Midlands Region,E12000005,55
01/07/2020,Yorkshire and The Humber,E12000003,66
01/07/2020,England,E92000001,471
01/07/2020,Wales,W92000004,45
01/08/2020,East Midlands,E12000004,22
01/08/2020,East of England,E12000006,12
01/08/2020,London,E12000007,51
01/08/2020,North East,E12000001,100
01/08/2020,North West,E12000002,87
01/08/2020,South East,E12000008,42
01/08/2020,South West,E12000009,25
01/08/2020,West Midlands Region,E12000005,30
01/08/2020,Yorkshire and The Humber,E12000003,63
01/08/2020,England,E92000001,432
01/08/2020,Wales,W92000004,25
01/09/2020,East Midlands,E12000004,24
01/09/2020,East of England,E12000006,8
01/09/2020,London,E12000007,25
01/09/2020,North East,E12000001,67
01/09/2020,North West,E12000002,75
01/09/2020,South East,E12000008,42
01/09/2020,South West,E12000009,20
01/09/2020,West Midlands Region,E12000005,30
01/09/2020,Yorkshire and The Humber,E12000003,63
01/09/2020,England,E92000001,354
01/09/2020,Wales,W92000004,41
01/10/2020,East Midlands,E12000004,31
01/10/2020,East of England,E12000006,9
01/10/2020,London,E12000007,37
01/10/2020,North East,E12000001,76
01/10/2020,North West,E12000002,105
01/10/2020,South East,E12000008,44
01/10/2020,South West,E12000009,34
01/10/2020,West Midlands Region,E12000005,43
01/10/2020,Yorkshire and The Humber,E12000003,45
01/10/2020,England,E92000001,424
01/10/2020,Wales,W92000004,37
01/11/2020,East Midlands,E12000004,25
01/11/2020,East of England,E12000006,12
01/11/2020,London,E12000007,39
01/11/2020,North East,E12000001,51
01/11/2020,North West,E12000002,63
01/11/2020,South East,E12000008,44
01/11/2020,South West,E12000009,25
01/11/2020,West Midlands Region,E12000005,24
01/11/2020,Yorkshire and The Humber,E12000003,41
01/11/2020,England,E92000001,324
01/11/2020,Wales,W92000004,31
01/12/2020,East Midlands,E12000004,14
01/12/2020,East of England,E12000006,5
01/12/2020,London,E12000007,42
01/12/2020,North East,E12000001,31
01/12/2020,North West,E12000002,71
01/12/2020,South East,E12000008,39
01/12/2020,South West,E12000009,26
01/12/2020,West Midlands Region,E12000005,17
01/12/2020,Yorkshire and The Humber,E12000003,45
01/12/2020,England,E92000001,290
01/12/2020,Wales,W92000004,23
01/01/2021,East Midlands,E12000004,12
01/01/2021,East of England,E12000006,10
01/01/2021,London,E12000007,31
01/01/2021,North East,E12000001,37
01/01/2021,North West,E12000002,56
01/01/2021,South East,E12000008,39
01/01/2021,South West,E12000009,9
01/01/2021,West Midlands Region,E12000005,22
01/01/2021,Yorkshire and The Humber,E12000003,40
01/01/2021,England,E92000001,256
01/01/2021,Wales,W92000004,18
01/02/2021,East Midlands,E12000004,17
01/02/2021,East of England,E12000006,10
01/02/2021,London,E12000007,33
01/02/2021,North East,E12000001,41
01/02/2021,North West,E12000002,61
01/02/2021,South East,E12000008,35
01/02/2021,South West,E12000009,10
01/02/2021,West Midlands Region,E12000005,22
01/02/2021,Yorkshire and The Humber,E12000003,28
01/02/2021,England,E92000001,257
01/02/2021,Wales,W92000004,21
01/03/2021,East Midlands,E12000004,31
01/03/2021,East of England,E12000006,4
01/03/2021,London,E12000007,43
01/03/2021,North East,E12000001,40
01/03/2021,North West,E12000002,47
01/03/2021,South East,E12000008,51
01/03/2021,South West,E12000009,24
01/03/2021,West Midlands Region,E12000005,28
01/03/2021,Yorkshire and The Humber,E12000003,33
01/03/2021,England,E92000001,301
01/03/2021,Wales,W92000004,14
01/04/2021,East Midlands,E12000004,16
01/04/2021,East of England,E12000006,16
01/04/2021,London,E12000007,15
01/04/2021,North East,E12000001,30
01/04/2021,North West,E12000002,46
01/04/2021,South East,E12000008,35
01/04/2021,South West,E12000009,11
01/04/2021,West Midlands Region,E12000005,31
01/04/2021,Yorkshire and The Humber,E12000003,30
01/04/2021,England,E92000001,230
01/04/2021,Wales,W92000004,14
01/05/2021,East Midlands,E12000004,7
01/05/2021,East of England,E12000006,7
01/05/2021,London,E12000007,32
01/05/2021,North East,E12000001,34
01/05/2021,North West,E12000002,54
01/05/2021,South East,E12000008,20
01/05/2021,South West,E12000009,16
01/05/2021,West Midlands Region,E12000005,10
01/05/2021,Yorkshire and The Humber,E12000003,14
01/05/2021,England,E92000001,194
01/05/2021,Wales,W92000004,12
01/06/2021,East Midlands,E12000004,13
01/06/2021,East of England,E12000006,10
01/06/2021,London,E12000007,58
01/06/2021,North East,E12000001,32
01/06/2021,North West,E12000002,54
01/06/2021,South East,E12000008,40
01/06/2021,South West,E12000009,20
01/06/2021,West Midlands Region,E12000005,20
01/06/2021,Yorkshire and The Humber,E12000003,22
01/06/2021,England,E92000001,269
01/06/2021,Wales,W92000004,13
01/07/2021,East Midlands,E12000004,11
01/07/2021,East of England,E12000006,8
01/07/2021,London,E12000007,20
01/07/2021,North East,E12000001,36
01/07/2021,North West,E12000002,48
01/07/2021,South East,E12000008,26
01/07/2021,South West,E12000009,18
01/07/2021,West Midlands Region,E12000005,15
01/07/2021,Yorkshire and The Humber,E12000003,17
01/07/2021,England,E92000001,199
01/07/2021,Wales,W92000004,17
01/08/2021,East Midlands,E12000004,14
01/08/2021,East of England,E12000006,8
01/08/2021,London,E12000007,13
01/08/2021,North East,E12000001,27
01/08/2021,North West,E12000002,51
01/08/2021,South East,E12000008,20
01/08/2021,South West,E12000009,14
01/08/2021,West Midlands Region,E12000005,23
01/08/2021,Yorkshire and The Humber,E12000003,27
01/08/2021,England,E92000001,197
01/08/2021,Wales,W92000004,5
01/09/2021,East Midlands,E12000004,15
01/09/2021,East of England,E12000006,6
01/09/2021,London,E12000007,30
01/09/2021,North East,E12000001,47
01/09/2021,North West,E12000002,70
01/09/2021,South East,E12000008,22
01/09/2021,South West,E12000009,23
01/09/2021,West Midlands Region,E12000005,22
01/09/2021,Yorkshire and The Humber,E12000003,28
01/09/2021,England,E92000001,263
01/09/2021,Wales,W92000004,12
01/10/2021,East Midlands,E12000004,9
01/10/2021,East of England,E12000006,7
01/10/2021,London,E12000007,14
01/10/2021,North East,E12000001,30
01/10/2021,North West,E12000002,58
01/10/2021,South East,E12000008,19
01/10/2021,South West,E12000009,13
01/10/2021,West Midlands Region,E12000005,15
01/10/2021,Yorkshire and The Humber,E12000003,36
01/10/2021,England,E92000001,201
01/10/2021,Wales,W92000004,14
01/11/2021,East Midlands,E12000004,15
01/11/2021,East of England,E12000006,12
01/11/2021,London,E12000007,24
01/11/2021,North East,E12000001,65
01/11/2021,North West,E12000002,71
01/11/2021,South East,E12000008,23
01/11/2021,South West,E12000009,18
01/11/2021,West Midlands Region,E12000005,21
01/11/2021,Yorkshire and The Humber,E12000003,40
01/11/2021,England,E92000001,289
01/11/2021,Wales,W92000004,12
01/12/2021,East Midlands,E12000004,13
01/12/2021,East of England,E12000006,1
01/12/2021,London,E12000007,21
01/12/2021,North East,E12000001,31
01/12/2021,North West,E12000002,65
01/12/2021,South East,E12000008,24
01/12/2021,South West,E12000009,5
01/12/2021,West Midlands Region,E12000005,20
01/12/2021,Yorkshire and The Humber,E12000003,36
01/12/2021,England,E92000001,216
01/12/2021,Wales,W92000004,27
01/01/2022,East Midlands,E12000004,11
01/01/2022,East of England,E12000006,6
01/01/2022,London,E12000007,26
01/01/2022,North East,E12000001,41
01/01/2022,North West,E12000002,66
